Date,Open,High,Low,Close,Volume
01-10-2021,2173.39,2191.06,2138.05,2155.72,74975400
04-10-2021,2182.23,2297.08,2173.39,2288.25,156691600
05-10-2021,2279.41,2314.75,2252.91,2270.58,94886200
06-10-2021,2288.25,2358.93,2279.41,2332.42,168775800
07-10-2021,2350.09,2411.93,2341.26,2367.76,253196600
08-10-2021,2376.59,2464.94,2376.59,2438.44,223592000
11-10-2021,2438.44,2447.27,2403.1,2438.44,123020200
12-10-2021,2464.94,2491.45,2447.27,2473.78,191044200
13-10-2021,2500.28,2509.12,2456.11,2509.12,134998000
14-10-2021,2517.95,2535.62,2491.45,2535.62,104307800
15-10-2021,2535.62,2544.46,2500.28,2526.79,84353000
18-10-2021,2544.46,2588.63,2526.79,2535.62,152951600
19-10-2021,2562.13,2562.13,2491.45,2544.46,99358000
21-10-2021,2535.62,2588.63,2517.95,2535.62,189264000
22-10-2021,2509.12,2553.29,2500.28,2544.46,65782600
25-10-2021,2535.62,2562.13,2517.95,2517.95,76296200
26-10-2021,2509.12,2544.46,2509.12,2535.62,55872800
27-10-2021,2544.46,2553.29,2517.95,2526.79,82925200
28-10-2021,2517.95,2526.79,2473.78,2482.61,99023600
29-10-2021,2535.62,2579.8,2526.79,2535.62,160952400
01-11-2021,2562.13,2562.13,2526.79,2535.62,65621400
02-11-2021,2535.62,2544.46,2473.78,2482.61,51923400
03-11-2021,2464.94,2562.13,2447.27,2517.95,107556600
04-11-2021,2562.13,2579.8,2535.62,2535.62,103726400
05-11-2021,2562.13,2562.13,2473.78,2509.12,48035600
08-11-2021,2544.46,2544.46,2473.78,2473.78,50517400
09-11-2021,2491.45,2509.12,2420.77,2429.6,120574200
10-11-2021,2429.6,2526.79,2429.6,2526.79,156118000
11-11-2021,2517.95,2553.29,2482.61,2553.29,86362400
12-11-2021,2570.96,2570.96,2491.45,2509.12,56807000
15-11-2021,2509.12,2526.79,2491.45,2491.45,40131000
16-11-2021,2491.45,2553.29,2482.61,2553.29,76140200
17-11-2021,2553.29,2562.13,2526.79,2553.29,72789600
18-11-2021,2544.46,2553.29,2526.79,2535.62,30911600
19-11-2021,2535.62,2579.8,2526.79,2562.13,101125800
22-11-2021,2597.47,2650.48,2553.29,2597.47,92374400
23-11-2021,2553.29,2570.96,2509.12,2526.79,63127600
24-11-2021,2517.95,2535.62,2509.12,2526.79,56217000
25-11-2021,2553.29,2606.3,2535.62,2597.47,97473400
26-11-2021,2588.63,2588.63,2500.28,2509.12,78633400
29-11-2021,2509.12,2570.96,2447.27,2535.62,112673000
30-11-2021,2562.13,2562.13,2456.11,2473.78,219340400
01-12-2021,2473.78,2517.95,2456.11,2500.28,93119800
02-12-2021,2500.28,2562.13,2473.78,2544.46,70416400
03-12-2021,2544.46,2553.29,2509.12,2526.79,46109400
06-12-2021,2526.79,2562.13,2509.12,2535.62,52050400
07-12-2021,2535.62,2579.8,2535.62,2579.8,64289400
08-12-2021,2570.96,2579.8,2526.79,2526.79,56064200
09-12-2021,2562.13,2597.47,2517.95,2597.47,42688600
10-12-2021,2544.46,2553.29,2509.12,2544.46,93532200
13-12-2021,2544.46,2553.29,2517.95,2517.95,50091200
14-12-2021,2517.95,2544.46,2509.12,2535.62,65061400
15-12-2021,2526.79,2588.63,2517.95,2570.96,75677400
16-12-2021,2579.8,2588.63,2544.46,2562.13,69082400
17-12-2021,2553.29,2553.29,2500.28,2526.79,83945200
20-12-2021,2509.12,2526.79,2500.28,2500.28,57932600
21-12-2021,2526.79,2562.13,2509.12,2526.79,49859600
22-12-2021,2535.62,2544.46,2491.45,2491.45,34814400
23-12-2021,2491.45,2526.79,2491.45,2500.28,44565000
24-12-2021,2509.12,2526.79,2456.11,2491.45,54902200
27-12-2021,2491.45,2509.12,2464.94,2473.78,34096400
28-12-2021,2491.45,2491.45,2464.94,2491.45,39835400
29-12-2021,2500.28,2517.95,2473.78,2509.12,20860200
30-12-2021,2509.12,2517.95,2482.61,2482.61,34951600
03-01-2022,2509.12,2517.95,2482.61,2491.45,30999600
04-01-2022,2500.28,2544.46,2491.45,2535.62,44541400
05-01-2022,2526.79,2535.62,2447.27,2482.61,98910200
06-01-2022,2500.28,2500.28,2456.11,2482.61,65651200
07-01-2022,2482.61,2509.12,2482.61,2491.45,68452800
10-01-2022,2500.28,2509.12,2491.45,2491.45,44378600
11-01-2022,2509.12,2509.12,2473.78,2491.45,50367600
12-01-2022,2491.45,2526.79,2491.45,2526.79,34249200
13-01-2022,2526.79,2535.62,2509.12,2517.95,35763800
14-01-2022,2500.28,2553.29,2500.28,2535.62,43651400
17-01-2022,2562.13,2570.96,2526.79,2544.46,43188000
18-01-2022,2535.62,2562.13,2509.12,2562.13,64484800
19-01-2022,2535.62,2544.46,2473.78,2482.61,103093600
20-01-2022,2509.12,2535.62,2482.61,2535.62,53067000
21-01-2022,2535.62,2579.8,2517.95,2579.8,76806800
24-01-2022,2570.96,2570.96,2544.46,2570.96,44476800
25-01-2022,2544.46,2562.13,2526.79,2553.29,69268000
26-01-2022,2579.8,2641.64,2553.29,2641.64,140636400
27-01-2022,2641.64,2685.82,2615.14,2668.15,113618000
28-01-2022,2694.65,2703.49,2668.15,2703.49,121145200
